epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,149.398,1.78715,5.14033,0.00355,0.00071,0.26093,0.00273,0.00132,1.78427,5.01379,0.00462,0.0045,0.0015,0.0045,0.0015,0.0895,0.0865,0.0045,0.0015
2,285.429,1.67569,4.00871,0.00319,0.00069,0.25602,0.14091,0.11948,1.69373,4.89849,0.00437,0.00920793,0.00306931,0.00920793,0.00306931,0.0782079,0.0720693,0.00920793,0.00306931
3,422.897,1.73699,3.11399,0.0034,0.00386,0.44542,0.23495,0.14705,1.50585,4.59091,0.00392,0.0138208,0.00460694,0.0138208,0.00460694,0.0668208,0.0576069,0.0138208,0.00460694
4,553.629,1.69401,2.7384,0.00343,0.01071,0.68534,0.48661,0.32137,1.59653,4.25067,0.0041,0.0183387,0.00611289,0.0183387,0.00611289,0.0553387,0.0431129,0.0183387,0.00611289
5,686.346,1.77752,2.44651,0.00348,0.01773,0.96756,0.67985,0.40085,1.74122,3.57142,0.0046,0.0227615,0.00758716,0.0227615,0.00758716,0.0437615,0.0285872,0.0227615,0.00758716
6,818.69,1.80723,2.32197,0.00367,0.72591,0.34693,0.62281,0.33003,1.7562,2.98608,0.00452,0.0270892,0.00902975,0.0270892,0.00902975,0.0320892,0.0140297,0.0270892,0.00902975
7,949.976,1.72749,2.23785,0.00349,0.65637,0.53204,0.67805,0.39278,1.73727,2.50891,0.00456,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1078.13,1.73719,2.18123,0.00344,0.64334,0.49635,0.75599,0.43445,1.7328,3.12114,0.00454,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1208.89,1.71189,2.27737,0.00328,0.4721,0.8532,0.71997,0.40111,1.8442,2.25365,0.00503,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1344.11,1.73401,1.85437,0.00322,0.60375,0.80219,0.79279,0.46714,1.78647,1.88034,0.00489,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1475.88,1.77157,1.84657,0.00369,0.7099,0.60047,0.752,0.44908,1.92261,1.92839,0.00538,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1611.51,1.74586,1.60092,0.00346,0.73677,0.76319,0.84833,0.49393,1.79634,1.67004,0.0049,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1741.88,1.73571,1.55579,0.00325,0.59,0.87577,0.78295,0.40796,1.85353,1.72366,0.00495,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1871.77,1.69222,1.46072,0.00348,0.72736,0.82286,0.8565,0.50636,1.90468,1.68038,0.00501,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2002.93,1.69892,1.42272,0.00324,0.78533,0.79121,0.86409,0.48088,1.88277,1.63057,0.00537,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2130.75,1.77269,1.37512,0.00334,0.74869,0.68351,0.75861,0.41304,2.05952,1.5967,0.00574,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2259.61,1.70627,1.24524,0.00337,0.79358,0.85794,0.91208,0.5714,1.7619,1.53396,0.0047,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2389.24,1.63618,1.36177,0.00345,0.82359,0.71147,0.89414,0.57693,1.59354,1.88316,0.00436,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2517.33,1.71518,1.29787,0.00322,0.82466,0.86813,0.93436,0.56506,1.80328,1.15019,0.00499,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2645.08,1.69754,1.05106,0.0032,0.82333,0.80465,0.9439,0.58516,1.72402,1.01142,0.00468,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
